[2018-09-12 18:36:10.032] Starting up round ID 2259.
[2018-09-12 18:36:10.032] -------------------------
[2018-09-12 18:47:41.108] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 84)  (Lavaland Wastes (143, 37, 5))
[2018-09-12 18:47:41.152] ATTACK: Wicker0/(Nebulous) has electrified [MiniSat Chamber Observation] (AI Chamber (150, 32, 2))
[2018-09-12 18:47:41.721] ATTACK: *no key*/(goliath) has attacked bilary/(Mim-Hul) (NEWHP: 63.2)  (Lavaland Wastes (144, 37, 5))
[2018-09-12 18:47:41.997] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 66)  (Lavaland Wastes (143, 37, 5))
[2018-09-12 18:47:42.877] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 48)  (Lavaland Wastes (143, 37, 5))
[2018-09-12 18:47:43.722] ATTACK: *no key*/(goliath) has attacked bilary/(Mim-Hul) (NEWHP: 61)  (Lavaland Wastes (144, 37, 5))
[2018-09-12 18:47:43.743] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 30)  (Lavaland Wastes (143, 37, 5))
[2018-09-12 18:47:44.560] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 12)  (Lavaland Wastes (143, 37, 5))
[2018-09-12 18:47:45.374] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(goliath) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (143, 37, 5))
[2018-09-12 18:47:46.577] ATTACK: bilary/(Mim-Hul) has grabbed *no key*/(goliath) passive grab (NEWHP: 0)  (Lavaland Wastes (143, 37, 5))
[2018-09-12 18:48:26.342] ATTACK: bilary/(Mim-Hul) has attacked [tiny mushrooms] with [spear (Wielded)] (Lavaland Wastes (147, 42, 5))
[2018-09-12 18:48:35.400] ATTACK: bilary/(Mim-Hul) has grabbed *no key*/(Onasha-Akish) passive grab (NEWHP: -102)  (Lavaland Wastes (147, 43, 5))
[2018-09-12 18:48:57.432] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:48:58.550] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:48:59.894] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (153, 45, 5))
[2018-09-12 18:49:10.923] ATTACK: bilary/(Mim-Hul) has thrown the mushroom stem (Lavaland Wastes (134, 37, 5))
[2018-09-12 18:49:27.687] ATTACK: bilary/(Mim-Hul) has thrown the portable seed extractor (Lavaland Wastes (139, 39, 5))
