[2018-09-05 18:43:04.448] Starting up round ID 2185.
[2018-09-05 18:43:04.448] -------------------------
[2018-09-05 18:56:27.048] ATTACK: Thegoodgoo/(Silly Willy) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Quarters (164, 127, 2))
[2018-09-05 18:56:27.878] ATTACK: Thegoodgoo/(Silly Willy) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Quarters (164, 127, 2))
[2018-09-05 18:56:28.765] ATTACK: Thegoodgoo/(Silly Willy) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Quarters (164, 127, 2))
[2018-09-05 18:57:15.348] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:16.121] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:17.039] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:18.029] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:18.866] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:20.079] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:20.958] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:21.846] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:22.653] ATTACK: Thegoodgoo/(Silly Willy) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:24.352] ATTACK: Thegoodgoo/(Silly Willy) has deactivates the hover field of [display case] (Captain's Office (163, 130, 2))
[2018-09-05 18:57:30.552] ATTACK: Thegoodgoo/(Silly Willy) has attacked [firelock] with [fire axe] (Captain's Office (162, 136, 2))
[2018-09-05 18:57:45.347] ATTACK: Goodie_boy/(Dan Ox) has climbed onto [reinforced table] (Bar (144, 169, 2))
[2018-09-05 18:58:00.797] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the supply megaphone (Cargo Bay (172, 161, 2))
[2018-09-05 18:58:03.294] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the requisition form - #6701 (Antimatter Shielding Crate) (Cargo Bay (172, 161, 2))
[2018-09-05 18:58:05.393] ATTACK: Goodie_boy/(Dan Ox) has climbed onto [reinforced table] (Bar (148, 169, 2))
[2018-09-05 18:58:05.575] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the requisition form - #6701 (Antimatter Shielding Crate) (Cargo Bay (172, 161, 2))
[2018-09-05 18:58:08.625] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the requisition form - #6701 (Antimatter Shielding Crate) (Cargo Bay (171, 162, 2))
[2018-09-05 18:58:35.829] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the mechanical toolbox (Cargo Bay (169, 161, 2))
[2018-09-05 18:58:40.905] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the mechanical toolbox (Cargo Bay (166, 160, 2))
[2018-09-05 18:59:31.348] ATTACK: Drunkenpeasant/(Franken Slime) has thrown the monkey cube box (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:01:17.898] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the artistic toolbox (Cargo Bay (171, 169, 2))
[2018-09-05 19:01:35.999] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the airlock painter (Cargo Bay (171, 168, 2))
[2018-09-05 19:01:44.446] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the firefighter helmet (Cargo Bay (173, 168, 2))
[2018-09-05 19:01:49.690] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the firefighter helmet (Cargo Bay (173, 172, 2))
[2018-09-05 19:02:00.131] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the silver coin (Cargo Bay (173, 168, 2))
[2018-09-05 19:02:06.967] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the cable coil (Cargo Bay (173, 171, 2))
[2018-09-05 19:02:12.804] ATTACK: Goodie_boy/(Dan Ox) has thrown the cultivator (Hydroponics (125, 147, 2))
[2018-09-05 19:03:00.384] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the shipping manifest - #6701 (Antimatter Shielding Crate) (Cargo Bay (169, 164, 2))
[2018-09-05 19:03:33.370] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:03:35.450] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:03:36.615] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:03:37.895] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:03:39.657] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:03:41.865] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:03:43.479] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 165, 2))
[2018-09-05 19:03:44.481] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 165, 2))
[2018-09-05 19:03:45.778] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 165, 2))
[2018-09-05 19:03:49.218] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 165, 2))
[2018-09-05 19:03:51.073] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:04:34.840] ATTACK: Goodie_boy/(Dan Ox) has stuffed *no key*/(Darwin) into the disposal unit (NEWHP: 100)  (Kitchen (148, 155, 2))
[2018-09-05 19:04:52.665] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [welding tool] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:01.467] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the metal rod (Cargo Bay (177, 171, 2))
[2018-09-05 19:05:10.238] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [welding tool] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:14.202] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [wrench] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:15.032] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [wrench] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:29.466] ATTACK: Wicker0/(Harlow Moriarty) has thrown the inducer (Chief Engineer's Office (98, 131, 2))
[2018-09-05 19:05:33.496] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:34.366] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:35.295] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:36.104] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:37.010] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:37.854] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:38.700] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:39.505] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:40.557] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:41.423] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:41.426] ATTACK: Wicker0/(Harlow Moriarty) has thrown the inducer (Chief Engineer's Office (98, 131, 2))
