[2018-09-08 11:31:18.113] Starting up round ID 2209.
[2018-09-08 11:31:18.113] -------------------------
[2018-09-08 12:19:02.876] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Ulric Northey) (NEWHP: 40)  (Robotics Lab (167, 119, 2))
[2018-09-08 12:19:09.119] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Ulric Northey) (NEWHP: 40)  (Robotics Lab (167, 119, 2))
[2018-09-08 12:19:32.260] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Ulric Northey) (NEWHP: 40)  (Robotics Lab (166, 119, 2))
[2018-09-08 12:20:08.029] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Ulric Northey) (NEWHP: 40)  (Robotics Lab (166, 119, 2))
[2018-09-08 12:21:28.740] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Kitchen (151, 132, 2))
[2018-09-08 12:21:37.949] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Kitchen (146, 135, 2))
[2018-09-08 12:21:43.543] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 90)  (Bar (143, 137, 2))
[2018-09-08 12:21:44.336] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 82.5)  (Bar (143, 137, 2))
[2018-09-08 12:21:45.257] ATTACK: *no key*/(Grodd VI) has attacked Bilary/(Lara Black) (NEWHP: 100)  (Bar (144, 138, 2))
[2018-09-08 12:21:45.264] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) (NEWHP: 77.5)  (Bar (143, 137, 2))
[2018-09-08 12:21:46.129] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) (NEWHP: 62.5)  (Bar (143, 137, 2))
[2018-09-08 12:21:47.044] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 55)  (Bar (143, 137, 2))
[2018-09-08 12:21:47.971] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 45)  (Bar (143, 137, 2))
[2018-09-08 12:21:48.878] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 35)  (Bar (143, 137, 2))
[2018-09-08 12:21:49.772] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 27.5)  (Bar (143, 137, 2))
[2018-09-08 12:21:50.840] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 17.5)  (Bar (143, 137, 2))
[2018-09-08 12:21:51.841] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 7.5)  (Bar (143, 137, 2))
[2018-09-08 12:21:52.864] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -2.5)  (Bar (143, 137, 2))
[2018-09-08 12:21:53.688] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -12.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:06.400] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -22.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:07.325] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -32.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:08.130] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -42.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:08.910] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -52.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:09.933] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -62.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:10.909] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -72.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:11.703] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -83.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:12.586] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -93.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:13.621] ATTACK: Bilary/(Lara Black) has attacked *no key*/(Grodd VI) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -104.5)  (Bar (143, 137, 2))
[2018-09-08 12:22:50.025] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Kitchen (146, 135, 2))
[2018-09-08 12:22:55.374] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-09-08 12:26:08.562] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-08 12:26:09.485] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:10.516] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:11.760] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:12.689] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:13.886] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:14.969] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:16.012] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:17.064] ATTACK: Bilary/(Lara Black) has thrown the matter bin (Research and Development (184, 122, 2))
[2018-09-08 12:26:18.103] ATTACK: Bilary/(Lara Black) has thrown the micro-laser (Research and Development (184, 122, 2))
[2018-09-08 12:26:19.322] ATTACK: Bilary/(Lara Black) has thrown the micro-laser (Research and Development (184, 122, 2))
[2018-09-08 12:26:20.323] ATTACK: Bilary/(Lara Black) has thrown the micro-laser (Research and Development (184, 122, 2))
[2018-09-08 12:26:25.369] ATTACK: Bilary/(Lara Black) has thrown the micro-manipulator (Research and Development (184, 122, 2))
[2018-09-08 12:26:26.695] ATTACK: Bilary/(Lara Black) has thrown the scanning module (Research and Development (184, 122, 2))
[2018-09-08 12:26:27.805] ATTACK: Bilary/(Lara Black) has thrown the micro-manipulator (Research and Development (184, 122, 2))
[2018-09-08 12:26:29.125] ATTACK: Bilary/(Lara Black) has thrown the micro-manipulator (Research and Development (184, 122, 2))
[2018-09-08 12:26:30.214] ATTACK: Bilary/(Lara Black) has thrown the micro-manipulator (Research and Development (184, 122, 2))
[2018-09-08 12:26:31.655] ATTACK: Bilary/(Lara Black) has thrown the micro-manipulator (Research and Development (184, 122, 2))
[2018-09-08 12:26:32.760] ATTACK: Bilary/(Lara Black) has thrown the micro-manipulator (Research and Development (184, 122, 2))
[2018-09-08 12:26:33.809] ATTACK: Bilary/(Lara Black) has thrown the micro-manipulator (Research and Development (184, 122, 2))
[2018-09-08 12:28:01.648] ATTACK: Bilary/(Lara Black) has thrown the rapid part exchange device (Starboard Primary Hallway (182, 127, 2))
[2018-09-08 12:28:04.041] ATTACK: Bilary/(Lara Black) has thrown the rapid part exchange device (Research and Development (183, 126, 2))
[2018-09-08 12:29:32.310] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Genetics Lab (153, 114, 2))
[2018-09-08 12:29:41.823] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Genetics Lab (153, 114, 2))
[2018-09-08 12:29:47.448] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Genetics Lab (153, 114, 2))
[2018-09-08 12:29:54.669] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Genetics Lab (153, 114, 2))
[2018-09-08 12:29:56.827] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) aggressive grab (NEWHP: 100)  (Genetics Lab (153, 114, 2))
[2018-09-08 12:29:58.074] ATTACK: *no key*/(monkey (441)) has resisted grab SunoPerson/(Suno Fang) (NEWHP: 100)  (Genetics Lab (153, 115, 2))
[2018-09-08 12:29:58.076] ATTACK: SunoPerson/(Suno Fang) has broke grab *no key*/(monkey (441)) (NEWHP: 100)  (Genetics Lab (154, 114, 2))
[2018-09-08 12:30:01.522] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(monkey (441)) with body bags[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 100)  (Genetics Lab (153, 114, 2))
[2018-09-08 12:30:04.528] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) passive grab (NEWHP: 100)  (Genetics Lab (154, 114, 2))
[2018-09-08 12:30:06.617] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (441)) aggressive grab (NEWHP: 100)  (Genetics Lab (154, 114, 2))
[2018-09-08 12:30:08.100] ATTACK: *no key*/(monkey (441)) has resisted grab SunoPerson/(Suno Fang) (NEWHP: 100)  (Genetics Lab (154, 115, 2))
[2018-09-08 12:30:25.087] ATTACK: SunoPerson/(Suno Fang) has fed *no key*/(monkey (441)) with mutadone (50u)[DC] (NEWHP: 100)  (Genetics Lab (157, 119, 2))
[2018-09-08 12:30:36.167] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(monkey (176)) passive grab (NEWHP: 100)  (Genetics Lab (159, 118, 2))
[2018-09-08 12:30:44.192] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Jaden Hawker) passive grab (NEWHP: 100)  (Genetics Lab (157, 116, 2))
[2018-09-08 12:31:27.862] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Jaden Hawker) passive grab (NEWHP: 100)  (Medbay Treatment Center (139, 108, 2))
[2018-09-08 12:31:37.829] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Jaden Hawker) aggressive grab (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:34:21.338] ATTACK: SunoPerson/(Suno Fang) has stripped the straight jacket off *no key*/(Jaden Hawker) (NEWHP: 100)  (Medbay Treatment Center (133, 108, 2))
[2018-09-08 12:34:30.670] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: amputation) (TARGET AREA: l_leg) (NEWHP: 100)  (Medbay Treatment Center (133, 108, 2))
[2018-09-08 12:36:22.303] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(Jaden Hawker) with circular saw[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 62.5)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:36:37.410] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: amputation) (TARGET AREA: r_leg) (NEWHP: 62.5)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:38:02.855] ATTACK: Bilary/(Lara Black) has thrown the pico-manipulator (Research and Development (184, 123, 2))
[2018-09-08 12:38:03.583] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(Jaden Hawker) with scalpel[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 85)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:38:19.183] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(Jaden Hawker) with cautery[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 85)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:39:20.288] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: amputation) (TARGET AREA: l_leg) (NEWHP: 85)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:40:46.241] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-09-08 12:40:57.749] ATTACK: Bilary/(Lara Black) has thrown the box of donk-pockets (Kitchen (153, 137, 2))
[2018-09-08 12:41:21.041] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Kitchen (151, 132, 2))
[2018-09-08 12:44:51.309] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: amputation) (TARGET AREA: l_arm) (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:45:13.203] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Jaden Hawker) (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:46:08.158] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(Jaden Hawker) with retractor[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 62.5)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:46:09.472] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(Jaden Hawker) with retractor[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 62.5)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:46:10.485] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(Jaden Hawker) with retractor[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 62.5)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:47:33.082] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: amputation) (TARGET AREA: r_arm) (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
