[2018-09-11 15:06:05.180] Starting up round ID 2251.
[2018-09-11 15:06:05.180] -------------------------
[2018-09-11 15:10:03.296] ATTACK: Bilary/(Lara Black) has thrown the marker beacon (Mining Dock (89, 106, 2))
[2018-09-11 15:17:24.185] ATTACK: Mr.Cheese1/(Woolie Nammers) has attacked [exosuit fabricator] with [glass] (Robotics Lab (174, 119, 2))
[2018-09-11 15:17:27.609] ATTACK: Mr.Cheese1/(Woolie Nammers) has attacked [exosuit fabricator] with [glass] (Robotics Lab (174, 119, 2))
[2018-09-11 15:17:35.996] ATTACK: Mr.Cheese1/(Woolie Nammers) has attacked [exosuit fabricator] with [metal] (Robotics Lab (173, 119, 2))
[2018-09-11 15:17:38.812] ATTACK: Pandolphina/(Hugo Dickinson) has electrified [Brig] (Fore Primary Hallway (118, 164, 2))
[2018-09-11 15:19:40.004] ATTACK: Mr.Cheese1/(Woolie Nammers) has grabbed *no key*/(monkey (912)) passive grab (NEWHP: -103)  (Xenobiology Lab (175, 93, 2))
[2018-09-11 15:20:24.366] ATTACK: Bilary/(Lara Black) has thrown the advanced automatic mining scanner (Mining Dock (89, 104, 2))
[2018-09-11 15:20:32.702] ATTACK: Bilary/(Lara Black) has thrown the automatic mining scanner (Mining Dock (89, 104, 2))
[2018-09-11 15:20:36.258] ATTACK: Bilary/(Lara Black) has thrown the oxygen tank (Mining Dock (89, 104, 2))
[2018-09-11 15:20:42.024] ATTACK: Bilary/(Lara Black) has thrown the explorer suit (Mining Dock (89, 104, 2))
[2018-09-11 15:21:23.167] ATTACK: Bilary/(Lara Black) has thrown the mining satchel (Cargo Office (88, 116, 2))
[2018-09-11 15:21:37.640] ATTACK: Bilary/(Lara Black) has thrown the proto-kinetic accelerator (Cargo Office (88, 116, 2))
[2018-09-11 15:22:25.241] ATTACK: Bilary/(Lara Black) has fired at [rock] with [weakened plasma blast] from Lavaland Wastes (Lavaland Wastes (72, 41, 5))
[2018-09-11 15:22:27.460] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (70, 45, 5))
[2018-09-11 15:22:29.327] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (66, 51, 5))
[2018-09-11 15:22:30.914] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (64, 51, 5))
[2018-09-11 15:22:32.552] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (64, 55, 5))
[2018-09-11 15:22:34.218] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (65, 52, 5))
[2018-09-11 15:22:35.874] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (69, 53, 5))
[2018-09-11 15:22:38.796] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (72, 51, 5))
[2018-09-11 15:22:40.896] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (72, 58, 5))
[2018-09-11 15:22:44.149] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (78, 62, 5))
[2018-09-11 15:22:45.660] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (78, 61, 5))
[2018-09-11 15:22:47.139] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (82, 59, 5))
[2018-09-11 15:22:48.863] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (83, 61, 5))
[2018-09-11 15:22:51.588] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (87, 55, 5))
[2018-09-11 15:22:53.298] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (88, 62, 5))
[2018-09-11 15:22:55.325] ATTACK: Bilary/(Lara Black) has fired at [volcanic floor] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (88, 69, 5))
[2018-09-11 15:22:58.383] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (88, 69, 5))
[2018-09-11 15:22:59.954] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (88, 74, 5))
[2018-09-11 15:23:02.061] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (85, 68, 5))
[2018-09-11 15:23:04.427] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (87, 73, 5))
