[2018-09-08 14:07:18.010] Starting up round ID 2210.
[2018-09-08 14:07:18.010] -------------------------
[2018-09-08 14:10:54.220] ATTACK: Bilary/(Lara Black) has thrown the marker beacon (Mining Dock (89, 104, 2))
[2018-09-08 14:11:07.104] ATTACK: Bilary/(Lara Black) has thrown the marker beacon (Mining Dock (89, 104, 2))
[2018-09-08 14:11:37.215] ATTACK: Bilary/(Lara Black) has thrown the sandbags (Mining Dock (89, 105, 2))
[2018-09-08 14:14:52.536] ATTACK: GreenTea98/(Helps-The-Station) has thrown the radiation hood (Engineering (121, 75, 2))
[2018-09-08 14:14:52.983] ATTACK: GreenTea98/(Helps-The-Station) has thrown the radiation suit (Engineering (121, 75, 2))
[2018-09-08 14:15:33.185] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (92, 51, 5))
[2018-09-08 14:15:34.297] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 45)  (Lavaland Wastes (93, 51, 5))
[2018-09-08 14:15:35.099] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 30)  (Lavaland Wastes (93, 51, 5))
[2018-09-08 14:15:36.065] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (94, 51, 5))
[2018-09-08 14:15:37.283] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Lavaland Wastes (95, 51, 5))
[2018-09-08 14:15:38.219] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (95, 51, 5))
[2018-09-08 14:15:39.156] ATTACK: *no key*/(legion) has attacked Bilary/(Lara Black) (NEWHP: 100)  (Lavaland Wastes (96, 50, 5))
[2018-09-08 14:15:39.540] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (95, 51, 5))
[2018-09-08 14:15:57.460] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 260)  (Lavaland Wastes (102, 63, 5))
[2018-09-08 14:15:59.161] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 220)  (Lavaland Wastes (102, 63, 5))
[2018-09-08 14:16:01.609] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 180)  (Lavaland Wastes (103, 64, 5))
[2018-09-08 14:16:03.261] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 140)  (Lavaland Wastes (103, 64, 5))
[2018-09-08 14:16:05.061] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 100)  (Lavaland Wastes (102, 65, 5))
[2018-09-08 14:16:06.759] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 60)  (Lavaland Wastes (102, 65, 5))
[2018-09-08 14:16:10.066] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (103, 63, 5))
[2018-09-08 14:16:14.274] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (100, 63, 5))
[2018-09-08 14:16:56.096] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (128, 85, 5))
[2018-09-08 14:16:56.993] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 45)  (Lavaland Wastes (128, 85, 5))
[2018-09-08 14:16:58.188] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 30)  (Lavaland Wastes (128, 85, 5))
[2018-09-08 14:16:59.095] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (128, 85, 5))
[2018-09-08 14:16:59.865] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Lavaland Wastes (127, 85, 5))
[2018-09-08 14:17:00.708] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (127, 85, 5))
[2018-09-08 14:17:01.595] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (126, 85, 5))
[2018-09-08 14:17:05.202] ATTACK: *no key*/(legion) has attacked Bilary/(Lara Black) (NEWHP: 93.7)  (Lavaland Wastes (125, 84, 5))
[2018-09-08 14:17:05.260] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (125, 83, 5))
[2018-09-08 14:17:06.320] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (126, 84, 5))
[2018-09-08 14:17:08.012] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (128, 86, 5))
[2018-09-08 14:17:08.739] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (128, 86, 5))
[2018-09-08 14:17:18.429] ATTACK: Bilary/(Lara Black) has stripped the explorer's webbing off *no key*/(Saul Bratton) (NEWHP: -699)  (Lavaland Wastes (128, 86, 5))
[2018-09-08 14:17:33.836] ATTACK: Davidththird/(Tyron Jamal) has thrown the bomb hood (Toxins Mixing Lab (186, 98, 2))
[2018-09-08 14:17:45.255] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 260)  (Lavaland Wastes (108, 74, 5))
[2018-09-08 14:17:46.853] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 220)  (Lavaland Wastes (108, 74, 5))
[2018-09-08 14:17:48.505] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 180)  (Lavaland Wastes (107, 73, 5))
[2018-09-08 14:17:50.102] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 140)  (Lavaland Wastes (107, 73, 5))
[2018-09-08 14:17:52.004] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 100)  (Lavaland Wastes (105, 71, 5))
[2018-09-08 14:17:53.652] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 60)  (Lavaland Wastes (106, 72, 5))
[2018-09-08 14:17:55.408] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (105, 71, 5))
[2018-09-08 14:17:57.004] ATTACK: Bilary/(Lara Black) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (105, 71, 5))
