[2018-09-04 21:47:16.162] Starting up round ID 2177.
[2018-09-04 21:47:16.162] -------------------------
[2018-09-04 21:54:40.823] ATTACK: Mr.Cheese1/(Benny Tequila) has injected Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:54:40.825] ATTACK: Mr.Cheese1/(Benny Tequila) injected Mr.Cheese1/(Benny Tequila) with the �DNA injector (Genetics Lab (158, 117, 2))
[2018-09-04 21:54:42.399] ATTACK: ChippedIce/(Hana Robusto) has attacked *no key*/(Officer Beepsky) with god hand[DC] (INTENT: HELP) (DAMTYPE: FIRE) (NEWHP: 0)  (Starboard Primary Hallway (150, 128, 2))
[2018-09-04 21:55:08.088] ATTACK: ChippedIce/(Hana Robusto) has attacked [reinforced window] with [god hand] (Starboard Primary Hallway (182, 127, 2))
[2018-09-04 21:55:44.875] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 30)  (Lavaland Wastes (93, 57, 5))
[2018-09-04 21:55:45.653] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Lavaland Wastes (93, 57, 5))
[2018-09-04 21:55:48.473] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (90, 53, 5))
[2018-09-04 21:55:51.813] ATTACK: Mr.Cheese1/(Benny Tequila) has attempted to inject Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:55:51.814] ATTACK: Mr.Cheese1/(Benny Tequila) has injected Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (158, 117, 2))
[2018-09-04 21:55:51.815] ATTACK: Mr.Cheese1/(Benny Tequila) injected Mr.Cheese1/(Benny Tequila) with the �DNA injector (Genetics Lab (158, 117, 2))
[2018-09-04 21:56:08.344] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (79, 71, 5))
[2018-09-04 21:56:08.461] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (79, 71, 5))
[2018-09-04 21:56:18.860] ATTACK: [�YouTool] has electrocuted Bluezinho/(Bluezinho Robert) (NEWHP: 94.7)  (Primary Tool Storage (76, 148, 2))
[2018-09-04 21:56:26.425] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked SuperbDingaling/(Mateo Keppel) with igniter[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 99)  (Chemistry (135, 125, 2))
[2018-09-04 21:56:28.430] ATTACK: [�YouTool] has electrocuted Bluezinho/(Bluezinho Robert) (NEWHP: 89.5)  (Primary Tool Storage (76, 148, 2))
[2018-09-04 21:56:46.091] ATTACK: ChippedIce/(Hana Robusto) has attacked ChippedIce/(Hana Robusto) with god hand[DC] (INTENT: HELP) (DAMTYPE: FIRE) (NEWHP: 82)  (Central Primary Hallway (100, 140, 2))
[2018-09-04 21:57:05.283] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 100)  (Lavaland Wastes (72, 79, 5))
[2018-09-04 21:57:06.178] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 160)  (Lavaland Wastes (73, 79, 5))
