[2018-09-11 01:41:52.480] Starting up round ID 2247.
[2018-09-11 01:41:52.480] -------------------------
[2018-09-11 01:45:54.154] ATTACK: Wumbowigis/(William Oranje) has thrown the top-hat (Bar (143, 136, 2))
[2018-09-11 01:46:32.951] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked Wumbowigis/(William Oranje) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 88.7)  (Bar (134, 133, 2))
[2018-09-11 01:46:36.296] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked Wumbowigis/(William Oranje) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 78.2)  (Bar (137, 133, 2))
[2018-09-11 01:46:37.255] ATTACK: GarfielfSpecies/(Shiny Baby Boy) has attacked Wumbowigis/(William Oranje) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 67.7)  (Bar (137, 133, 2))
[2018-09-11 01:47:11.034] ATTACK: Jackson20004/(Tristan Hooker) has punched GarfielfSpecies/(Shiny Baby Boy) (NEWHP: 98)  (Bar (139, 132, 2))
[2018-09-11 01:47:18.349] ATTACK: Wumbowigis/(William Oranje) has fired at [floor] with [beanbag slug] from Bar (Bar (140, 132, 2))
[2018-09-11 01:47:18.410] ATTACK: Wumbowigis/(William Oranje) has shot GarfielfSpecies/(Shiny Baby Boy) with [beanbag slug] (NEWHP: 93)  (Bar (140, 132, 2))
[2018-09-11 01:47:18.976] ATTACK: Wumbowigis/(William Oranje) has fired at [floor] with [beanbag slug] from Bar (Bar (140, 132, 2))
[2018-09-11 01:48:14.940] ATTACK: Momo1911/(Mike Houseman) has thrown the chair (Starboard Primary Hallway (137, 130, 2))
[2018-09-11 01:48:14.973] ATTACK: Momo1911/(Mike Houseman) has threw and hit GarfielfSpecies/(Shiny Baby Boy) with [chair] (NEWHP: 85.5)  (Starboard Primary Hallway (137, 130, 2))
[2018-09-11 01:48:23.703] ATTACK: Momo1911/(Mike Houseman) has thrown the chair (Bar (138, 132, 2))
[2018-09-11 01:48:24.781] ATTACK: Wumbowigis/(William Oranje) has fired at [floor] with [beanbag slug] from Starboard Primary Hallway (Starboard Primary Hallway (134, 129, 2))
[2018-09-11 01:48:24.795] ATTACK: Wumbowigis/(William Oranje) has shot GarfielfSpecies/(Shiny Baby Boy) with [beanbag slug] (NEWHP: 80.5)  (Starboard Primary Hallway (134, 129, 2))
[2018-09-11 01:48:25.663] ATTACK: Wumbowigis/(William Oranje) has fired at [floor] with [beanbag slug] from Central Primary Hallway (Central Primary Hallway (130, 129, 2))
[2018-09-11 01:48:25.846] ATTACK: Wumbowigis/(William Oranje) has shot GarfielfSpecies/(Shiny Baby Boy) with [beanbag slug] (NEWHP: 75.5)  (Central Primary Hallway (129, 129, 2))
[2018-09-11 01:48:28.780] ATTACK: Momo1911/(Mike Houseman) has attacked GarfielfSpecies/(Shiny Baby Boy) with god hand[DC] (INTENT: HARM) (DAMTYPE: FIRE) (NEWHP: 62)  (Starboard Primary Hallway (134, 128, 2))
[2018-09-11 01:48:29.680] ATTACK: Momo1911/(Mike Houseman) has attacked GarfielfSpecies/(Shiny Baby Boy) with god hand[DC] (INTENT: HARM) (DAMTYPE: FIRE) (NEWHP: 44)  (Starboard Primary Hallway (134, 128, 2))
[2018-09-11 01:48:30.497] ATTACK: Momo1911/(Mike Houseman) has attacked GarfielfSpecies/(Shiny Baby Boy) with god hand[DC] (INTENT: HARM) (DAMTYPE: FIRE) (NEWHP: 26)  (Starboard Primary Hallway (134, 128, 2))
[2018-09-11 01:48:31.356] ATTACK: Momo1911/(Mike Houseman) has attacked GarfielfSpecies/(Shiny Baby Boy) with god hand[DC] (INTENT: HARM) (DAMTYPE: FIRE) (NEWHP: 8)  (Starboard Primary Hallway (134, 128, 2))
[2018-09-11 01:48:32.243] ATTACK: Momo1911/(Mike Houseman) has attacked GarfielfSpecies/(Shiny Baby Boy) with god hand[DC] (INTENT: HARM) (DAMTYPE: FIRE) (NEWHP: -10)  (Starboard Primary Hallway (134, 128, 2))
