[2018-08-22 17:51:41.595] Starting up round ID 2043.
[2018-08-22 17:51:41.595] -------------------------
[2018-08-22 18:04:52.413] ATTACK: Smarrazzo/(Simon Fenix) has thrown the metal rod (Robotics Lab (175, 122, 2))
[2018-08-22 18:05:39.367] ATTACK: Smarrazzo/(Simon Fenix) has grabbed Bilary/(IckyOocky) passive grab (NEWHP: 100)  (Robotics Lab (175, 121, 2))
[2018-08-22 18:05:53.874] ATTACK: Smarrazzo/(Simon Fenix) has grabbed Bilary/(IckyOocky) passive grab (NEWHP: 100)  (Research Division (180, 111, 2))
[2018-08-22 18:08:08.169] ATTACK: Shamzie/(Lukash Russianman) has slipped on the [floor] (Cargo Office (92, 119, 2))
[2018-08-22 18:08:10.231] ATTACK: ChippedIce/(Hana Robusto) has fired at [floor] with [practice laser] from Cargo Office (Cargo Office (91, 116, 2))
[2018-08-22 18:08:10.665] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:10.772] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:11.092] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:11.221] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:11.691] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:11.828] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:12.226] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:12.372] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:12.777] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:12.920] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:13.301] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:13.420] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:13.891] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:14.021] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
