[2018-09-05 16:09:40.526] Starting up round ID 2184.
[2018-09-05 16:09:40.527] -------------------------
[2018-09-05 16:30:49.854] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:50.664] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked [display case] with [mechanical toolbox] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:52.163] ATTACK: Mr.Cheese1/(Benny Tequila) has deactivates the hover field of [display case] (Captain's Office (125, 130, 2))
[2018-09-05 16:30:56.332] ATTACK: Bilary/(Lara Black) has thrown the emergency firesuit (Robotics Lab (174, 121, 2))
[2018-09-05 16:31:45.834] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [scrubbers pipe] with [laser] from Aft Maintenance (Aft Maintenance (161, 87, 2))
[2018-09-05 16:31:54.650] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:55.171] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:55.743] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:56.183] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:56.731] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:57.172] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:57.581] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:58.042] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:58.632] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:59.083] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:59.541] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:31:59.990] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [plating] with [laser] from Aft Maintenance (Aft Maintenance (163, 106, 2))
[2018-09-05 16:32:09.138] ATTACK: Bluezinho/(Popcorn) has thrown the budget insulated gloves (Research Division (180, 121, 2))
[2018-09-05 16:32:38.385] ATTACK: Bluezinho/(Popcorn) has thrown the wooden plank (Starboard Primary Hallway (134, 128, 2))
[2018-09-05 16:32:53.125] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:32:53.964] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:32:54.763] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
