[2018-08-26 05:56:41.911] Starting up round ID 2084.
[2018-08-26 05:56:41.911] -------------------------
[2018-08-26 06:09:29.768] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:30.590] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:31.518] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:32.363] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:33.198] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:34.110] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:35.026] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:35.879] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:36.803] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:37.778] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:38.682] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:39.648] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:40.537] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:41.372] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:42.217] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:43.043] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:43.894] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:44.841] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:45.695] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
[2018-08-26 06:09:46.986] ATTACK: BRhunter45/(Adolph Mills) has attacked [fire axe cabinet] with [double-barreled shotgun] (Atmospherics (125, 92, 2))
