[2018-08-21 01:10:44.849] Starting up round ID 2025.
[2018-08-21 01:10:44.849] -------------------------
[2018-08-21 01:23:31.217] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:32.050] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:32.956] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:33.768] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:34.883] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:35.937] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:36.757] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [right leg] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:42.436] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:43.284] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:44.209] ATTACK: BuckyBoy/(Beau Richards) has attacked [grille] with [curator's whip] (Robotics Lab (175, 125, 2))
[2018-08-21 01:23:59.283] ATTACK: BuckyBoy/(Beau Richards) has thrown the shard (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:23:59.797] ATTACK: BuckyBoy/(Beau Richards) has thrown the shard (Starboard Primary Hallway (175, 127, 2))
[2018-08-21 01:24:06.393] ATTACK: DarktPlaysBR/(Lisa Standley) has kicks [display case] (Captain's Office (125, 129, 2))
[2018-08-21 01:24:30.359] ATTACK: DarktPlaysBR/(Lisa Standley) has thrown the captain's spare ID (Captain's Office (121, 120, 2))
[2018-08-21 01:25:06.146] ATTACK: BuckyBoy/(Beau Richards) has attacked [security camera] with [curator's whip] (Starboard Primary Hallway (172, 129, 2))
[2018-08-21 01:25:06.978] ATTACK: BuckyBoy/(Beau Richards) has attacked [security camera] with [curator's whip] (Starboard Primary Hallway (172, 129, 2))
[2018-08-21 01:25:13.690] ATTACK: BuckyBoy/(Beau Richards) has attacked CthulhuOnIce/(Declan Judge) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 42.25)  (Robotics Lab (172, 121, 2))
[2018-08-21 01:25:42.819] ATTACK: CthulhuOnIce/(Declan Judge) has leg sweeped BuckyBoy/(Beau Richards) (NEWHP: 83.75)  (Library (170, 134, 2))
[2018-08-21 01:25:46.602] ATTACK: CthulhuOnIce/(Declan Judge) has attacked BuckyBoy/(Beau Richards) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 72.5)  (Library (170, 134, 2))
[2018-08-21 01:25:47.892] ATTACK: CthulhuOnIce/(Declan Judge) has attacked BuckyBoy/(Beau Richards) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 61.25)  (Library (170, 134, 2))
[2018-08-21 01:25:48.687] ATTACK: CthulhuOnIce/(Declan Judge) has attacked [�Library vent pump #2] with [officer's sabre] (Library (170, 134, 2))
