[2018-09-10 04:43:04.954] Starting up round ID 2236.
[2018-09-10 04:43:04.954] -------------------------
[2018-09-10 10:13:01.765] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(legion) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 55)  (Lavaland Wastes (146, 42, 5))
[2018-09-10 10:13:15.217] ATTACK: Pandolphina/(Hugo Dickinson) has stripped the goliath cloak off *no key*/(Landon Parkinson) (NEWHP: -640.4)  (Lavaland Wastes (145, 41, 5))
[2018-09-10 10:14:33.595] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(goldgrub) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 25)  (Lavaland Wastes (165, 46, 5))
[2018-09-10 10:14:34.406] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(goldgrub) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 5)  (Lavaland Wastes (165, 46, 5))
[2018-09-10 10:14:35.317] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(goldgrub) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (165, 46, 5))
[2018-09-10 10:14:40.798] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(goldgrub) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (164, 45, 5))
[2018-09-10 10:14:41.582] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(goldgrub) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (164, 45, 5))
[2018-09-10 10:15:07.025] ATTACK: Pandolphina/(Hugo Dickinson) has shot *no key*/(legion) with [destabilizing force] (NEWHP: 75)  (Lavaland Wastes (178, 31, 5))
[2018-09-10 10:15:07.696] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(legion) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 55)  (Lavaland Wastes (177, 31, 5))
[2018-09-10 10:15:08.789] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(legion) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (177, 31, 5))
