[2018-09-09 21:37:28.943] Starting up round ID 2232.
[2018-09-09 21:37:28.943] -------------------------
[2018-09-09 21:49:04.758] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (84, 66, 5))
[2018-09-09 21:49:04.882] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (84, 66, 5))
[2018-09-09 21:49:25.278] ATTACK: AzlanonPc/(Jetra Norlan) has stripped the white gloves off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Lavaland Wastes (80, 66, 5))
[2018-09-09 21:49:26.385] ATTACK: AzlanonPc/(Jetra Norlan) has stripped the holy claymore off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Lavaland Wastes (80, 66, 5))
[2018-09-09 21:49:26.836] ATTACK: AzlanonPc/(Jetra Norlan) has stripped the maid costume off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Lavaland Wastes (80, 66, 5))
[2018-09-09 21:49:27.690] ATTACK: AzlanonPc/(Jetra Norlan) has stripped the laceup shoes off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Lavaland Wastes (80, 66, 5))
[2018-09-09 21:49:29.519] ATTACK: AzlanonPc/(Jetra Norlan) has stripped the wooden buckler off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Lavaland Wastes (80, 66, 5))
[2018-09-09 21:49:58.682] ATTACK: Wumbowigis/(Honker) has thrown the �Scaredy's Private Reserve Beef Jerky (Dormitories (120, 148, 2))
[2018-09-09 21:50:14.420] ATTACK: Wumbowigis/(Honker) has thrown the bedsheet (Dormitories (119, 148, 2))
[2018-09-09 21:50:22.782] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(Brooklyn Harding) with fulton extraction pack[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -565.4)  (Lavaland Wastes (81, 67, 5))
[2018-09-09 21:50:23.053] ATTACK: greentea98/(Helps-The-Station) has thrown the trenchcoat (Detective's Office (91, 131, 2))
[2018-09-09 21:50:26.303] ATTACK: AzlanonPc/(Jetra Norlan) has grabbed *no key*/(Brooklyn Harding) passive grab (NEWHP: -565.4)  (Lavaland Wastes (81, 67, 5))
[2018-09-09 21:50:43.880] ATTACK: greentea98/(Helps-The-Station) has thrown the hard-worn suit (Detective's Office (90, 131, 2))
[2018-09-09 21:51:05.816] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(Brooklyn Harding) with fulton extraction pack[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -565.4)  (Lavaland Wastes (73, 37, 5))
[2018-09-09 21:51:30.082] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (96, 71, 5))
[2018-09-09 21:51:30.222] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (96, 71, 5))
[2018-09-09 21:51:30.224] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(legion) with [weakened kinetic force] (NEWHP: 0)  (Lavaland Wastes (96, 71, 5))
[2018-09-09 21:53:19.084] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 136, 2))
[2018-09-09 21:53:34.669] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 136, 2))
[2018-09-09 21:53:41.997] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 136, 2))
[2018-09-09 21:53:55.540] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 136, 2))
[2018-09-09 21:53:56.565] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 136, 2))
[2018-09-09 21:54:00.333] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 136, 2))
[2018-09-09 21:54:01.119] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 136, 2))
[2018-09-09 21:54:03.087] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:03.995] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:04.793] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:05.734] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:06.637] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:07.565] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:08.376] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:09.232] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:10.205] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:11.162] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:12.272] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:13.174] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:13.978] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (173, 136, 2))
[2018-09-09 21:54:15.212] ATTACK: Jaedo/(Peter Parker) has attacked Jaedo/(Peter Parker) with curator's whip[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 85)  (Library (173, 136, 2))
[2018-09-09 21:54:16.092] ATTACK: Jaedo/(Peter Parker) has punched Jaedo/(Peter Parker) (NEWHP: 81)  (Library (173, 136, 2))
[2018-09-09 21:54:20.337] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (172, 136, 2))
[2018-09-09 21:54:21.268] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (172, 136, 2))
[2018-09-09 21:54:22.197] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (172, 136, 2))
[2018-09-09 21:54:23.116] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (172, 136, 2))
