[2018-08-20 18:11:58.911] Starting up round ID 2020.
[2018-08-20 18:11:58.911] -------------------------
[2018-08-20 18:23:42.614] ATTACK: Davidththird/(Tyron Jamal) has attacked [circuit imprinter] with [glass] (Robotics Lab (172, 125, 2))
[2018-08-20 18:24:23.101] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:23.988] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:24.863] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:25.474] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (159, 130, 2))
[2018-08-20 18:24:25.839] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:26.341] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (159, 130, 2))
[2018-08-20 18:24:26.729] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:27.657] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:28.668] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:29.640] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:30.542] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:31.241] ATTACK: Davidththird/(Tyron Jamal) has flashed(targeted) Red Axolotl/(Breaks-The-Bad) with [flash] (NEWHP: 100)  (Starboard Primary Hallway (159, 130, 2))
[2018-08-20 18:24:31.606] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 120, 2))
[2018-08-20 18:24:32.899] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [hydraulic crowbar] (Chemistry (133, 121, 2))
