[2018-08-27 19:13:21.801] Starting up round ID 2101.
[2018-08-27 19:13:21.801] -------------------------
[2018-08-27 19:31:02.405] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked Mr.Cheese1/(Buzzbo Billington) with requisition form - #7066 (Funeral Supply crate)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Cargo Office (89, 120, 2))
[2018-08-27 19:31:10.401] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (184, 127, 2))
[2018-08-27 19:31:11.336] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:12.231] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:13.205] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:14.094] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:20.415] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:21.403] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:22.306] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:23.288] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:24.066] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:25.416] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:26.232] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:27.049] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:29.417] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:30.242] ATTACK: Bilary/(Lara Black) has attacked [grille] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:31.061] ATTACK: Bilary/(Lara Black) has attacked [grille] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:31:31.959] ATTACK: Bilary/(Lara Black) has attacked [grille] with [survival knife] (Starboard Primary Hallway (183, 127, 2))
[2018-08-27 19:32:29.738] ATTACK: Juicy_Chicken/(THE LOCKSMITH) has electrified [AI Core] (AI Chamber (150, 32, 2))
[2018-08-27 19:32:38.734] ATTACK: Juicy_Chicken/(THE LOCKSMITH) has electrified [MiniSat Chamber Observation] (AI Chamber (150, 32, 2))
[2018-08-27 19:33:19.056] ATTACK: Bilary/(Lara Black) has thrown the mechanical toolbox (Research and Development (186, 125, 2))
[2018-08-27 19:33:21.383] ATTACK: Bilary/(Lara Black) has attacked [department protolathe (Science)] with [glass] (Research and Development (186, 124, 2))
[2018-08-27 19:34:53.154] ATTACK: Mr.Cheese1/(Buzzbo Billington) has thrown the wrench (Cargo Office (86, 117, 2))
[2018-08-27 19:36:18.122] ATTACK: Bilary/(Lara Black) has thrown the black gloves (Starboard Primary Hallway (143, 128, 2))
[2018-08-27 19:36:41.885] ATTACK: Bilary/(Lara Black) has thrown the bluespace rapid part exchange device (Cargo Office (87, 118, 2))
[2018-08-27 19:37:13.860] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [ore silo] with [screwdriver] (Cargo Office (86, 116, 2))
[2018-08-27 19:37:18.165] ATTACK: Manmail/(Jingle) has shaked Smarrazzo/(Wesley Snipes) (NEWHP: 100)  (Cargo Office (92, 116, 2))
[2018-08-27 19:37:18.234] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (92, 117, 2))
[2018-08-27 19:37:20.096] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (93, 117, 2))
[2018-08-27 19:38:06.320] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked *no key*/(mouse) (NEWHP: 2)  (Fore Maintenance (135, 162, 2))
[2018-08-27 19:38:07.198] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked *no key*/(mouse) (NEWHP: 0)  (Fore Maintenance (135, 162, 2))
[2018-08-27 19:38:11.516] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (91, 116, 2))
[2018-08-27 19:38:35.216] ATTACK: Smarrazzo/(Wesley Snipes) has thrown the donut box (Cargo Office (92, 118, 2))
[2018-08-27 19:38:39.746] ATTACK: Manmail/(Jingle) has thrown the donut box (Central Primary Hallway (97, 120, 2))
[2018-08-27 19:39:09.082] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:09.878] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:10.707] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:11.612] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:12.448] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:13.362] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:13.824] ATTACK: Bilary/(Lara Black) has thrown the multitool (Cargo Office (87, 118, 2))
[2018-08-27 19:39:14.223] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:15.017] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:15.869] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:16.724] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:17.657] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:18.743] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [oxygen tank] (Starboard Bow Maintenance (172, 153, 2))
[2018-08-27 19:39:22.626] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (93, 120, 2))
[2018-08-27 19:39:29.002] ATTACK: Bilary/(Lara Black) has thrown the mining satchel (Cargo Office (88, 115, 2))
[2018-08-27 19:39:33.364] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (93, 119, 2))
[2018-08-27 19:39:38.627] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (93, 119, 2))
[2018-08-27 19:39:40.887] ATTACK: Manmail/(Jingle) has grabbed Smarrazzo/(Wesley Snipes) passive grab (NEWHP: 100)  (Cargo Office (92, 117, 2))
[2018-08-27 19:39:47.569] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (93, 118, 2))
[2018-08-27 19:39:47.790] ATTACK: Manmail/(Jingle) has grabbed Smarrazzo/(Wesley Snipes) passive grab (NEWHP: 100)  (Cargo Office (92, 119, 2))
[2018-08-27 19:39:50.305] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (93, 118, 2))
[2018-08-27 19:39:50.348] ATTACK: Manmail/(Jingle) has grabbed Smarrazzo/(Wesley Snipes) passive grab (NEWHP: 100)  (Cargo Office (93, 119, 2))
[2018-08-27 19:39:51.358] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Cargo Office (91, 116, 2))
[2018-08-27 19:40:04.904] ATTACK: Smarrazzo/(Wesley Snipes) has thrown the harebell (Cargo Office (94, 117, 2))
[2018-08-27 19:40:05.027] ATTACK: Smarrazzo/(Wesley Snipes) has threw and hit Manmail/(Jingle) with [harebell] (NEWHP: 100)  (Cargo Office (94, 117, 2))
[2018-08-27 19:40:19.686] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:20.181] ATTACK: Bilary/(Lara Black) has thrown the automatic mining scanner (Mining Dock (89, 104, 2))
[2018-08-27 19:40:20.362] ATTACK: Manmail/(Jingle) has thrown the geranium (Central Primary Hallway (116, 113, 2))
[2018-08-27 19:40:20.369] ATTACK: Manmail/(Jingle) has threw and hit Manmail/(Jingle) with [geranium] (NEWHP: 100)  (Central Primary Hallway (117, 113, 2))
[2018-08-27 19:40:20.555] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:21.390] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:22.228] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:23.194] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:23.983] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:24.793] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:25.604] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:26.413] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:27.283] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:28.101] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:28.915] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:29.684] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:40:30.549] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [girder] with [welding tool] (Starboard Bow Maintenance (178, 159, 2))
[2018-08-27 19:42:12.663] ATTACK: Bilary/(Lara Black) has thrown the explorer bag (Research and Development (185, 124, 2))
[2018-08-27 19:42:17.637] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:18.441] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:19.239] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:20.104] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:20.989] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:21.925] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:22.912] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:23.758] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:24.688] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:25.651] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:26.502] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:27.411] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:28.327] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [window] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:29.294] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:30.160] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:31.009] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:31.947] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:32.841] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:33.709] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:34.654] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:35.553] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:36.498] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:37.346] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:38.230] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:39.092] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:39.996] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:40.945] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:41.839] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [grille] with [emergency oxygen tank] (Starboard Bow Maintenance (166, 153, 2))
[2018-08-27 19:42:55.165] ATTACK: Mr.Cheese1/(Buzzbo Billington) has shaked Manmail/(Jingle) (NEWHP: 100)  (Starboard Primary Hallway (166, 130, 2))
[2018-08-27 19:43:33.237] ATTACK: AstronautCat/(Delia Eld) has thrown the medal box (Mining Station Port Wing (31, 25, 5))
[2018-08-27 19:44:16.837] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [weakened plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:16.911] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [weakened plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:19.182] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:19.261] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:20.309] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:20.361] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:21.405] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:21.461] ATTACK: Bilary/(Lara Black) has fired at [medal box] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:22.398] ATTACK: Bilary/(Lara Black) has fired at [distinguished conduct medal] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:22.461] ATTACK: Bilary/(Lara Black) has fired at [distinguished conduct medal] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 41, 5))
[2018-08-27 19:44:27.154] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (72, 46, 5))
[2018-08-27 19:44:27.216] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (72, 46, 5))
