[2018-09-04 17:45:01.465] Starting up round ID 2174.
[2018-09-04 17:45:01.465] -------------------------
[2018-09-04 17:55:32.423] ATTACK: X1pr0/(Connor Brooks) has attacked Bilary/(Lara Black) with holographic energy sword[DC] (INTENT: HARM) (DAMTYPE: STAMINA) (NEWHP: 100)  (Recreational Holodeck (142, 155, 2))
[2018-09-04 17:55:33.367] ATTACK: X1pr0/(Connor Brooks) has attacked Bilary/(Lara Black) with holographic energy sword[DC] (INTENT: HARM) (DAMTYPE: STAMINA) (NEWHP: 100)  (Recreational Holodeck (142, 155, 2))
[2018-09-04 17:55:34.308] ATTACK: X1pr0/(Connor Brooks) has attacked Bilary/(Lara Black) with holographic energy sword[DC] (INTENT: HARM) (DAMTYPE: STAMINA) (NEWHP: 100)  (Recreational Holodeck (142, 155, 2))
[2018-09-04 17:55:35.086] ATTACK: X1pr0/(Connor Brooks) has attacked Bilary/(Lara Black) with holographic energy sword[DC] (INTENT: HARM) (DAMTYPE: STAMINA) (NEWHP: 100)  (Recreational Holodeck (142, 155, 2))
[2018-09-04 17:55:35.948] ATTACK: X1pr0/(Connor Brooks) has attacked Bilary/(Lara Black) with holographic energy sword[DC] (INTENT: HARM) (DAMTYPE: STAMINA) (NEWHP: 100)  (Recreational Holodeck (142, 155, 2))
[2018-09-04 17:55:36.738] ATTACK: X1pr0/(Connor Brooks) has attacked [Holodeck Door] with [holographic energy sword] (Recreational Holodeck (142, 156, 2))
[2018-09-04 17:55:38.228] ATTACK: X1pr0/(Connor Brooks) has attacked Bilary/(Lara Black) with holographic energy sword[DC] (INTENT: HARM) (DAMTYPE: STAMINA) (NEWHP: 100)  (Fitness Room (140, 156, 2))
[2018-09-04 17:55:39.081] ATTACK: X1pr0/(Connor Brooks) has punched Bilary/(Lara Black) (NEWHP: 98)  (Fitness Room (140, 156, 2))
[2018-09-04 17:55:51.965] ATTACK: DotLyna/(Lyna Lavas) has thrown the gibtonite ore (Mining Shuttle (52, 36, 5))
[2018-09-04 17:56:04.388] ATTACK: Mr.Cheese1/(Benny Tequila) has thrown the cardboard (Hydroponics (159, 142, 2))
[2018-09-04 17:56:57.185] ATTACK: Bilary/(Lara Black) has thrown the cable coil (Central Primary Hallway (99, 140, 2))
[2018-09-04 17:58:13.593] ATTACK: DotLyna/(Lyna Lavas) has thrown the automatic mining scanner (Mining Dock (89, 105, 2))
[2018-09-04 17:58:23.688] ATTACK: X1pr0/(Connor Brooks) has grabbed *no key*/(Bubbles VII) passive grab (NEWHP: 100)  (Bar (141, 134, 2))
[2018-09-04 17:58:25.980] ATTACK: DotLyna/(Lyna Lavas) has thrown the automatic mining scanner (Mining Dock (89, 105, 2))
