[2018-09-08 00:47:31.959] Starting up round ID 2204.
[2018-09-08 00:47:31.959] -------------------------
[2018-09-08 00:55:20.272] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -12.2)  (Bridge (113, 128, 2))
[2018-09-08 00:55:20.332] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -27.2)  (Bridge (113, 128, 2))
[2018-09-08 00:55:20.789] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -28)  (Bridge (113, 128, 2))
[2018-09-08 00:55:20.882] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -43)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.304] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -43)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.382] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -58)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.808] ATTACK: Angryman666/(Avery Seelig) has fired at ChippedIce/(Hana Robusto) with [laser] from Bridge (NEWHP: -58)  (Bridge (113, 128, 2))
[2018-09-08 00:55:21.886] ATTACK: Angryman666/(Avery Seelig) has shot ChippedIce/(Hana Robusto) with [laser] (NEWHP: -73)  (Bridge (113, 128, 2))
[2018-09-08 00:55:23.496] ATTACK: Angryman666/(Avery Seelig) has grabbed ChippedIce/(Hana Robusto) passive grab (NEWHP: -73.9)  (Bridge (113, 130, 2))
[2018-09-08 00:55:32.236] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Bridge (Bridge (101, 132, 2))
[2018-09-08 00:55:35.995] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Command Hallway (Command Hallway (108, 126, 2))
[2018-09-08 00:55:39.088] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Command Hallway (Command Hallway (111, 126, 2))
[2018-09-08 00:55:39.167] ATTACK: Angryman666/(Avery Seelig) has shot bilary/(Lara Black) with [bolt] (NEWHP: 92)  (Command Hallway (110, 126, 2))
[2018-09-08 00:55:43.474] ATTACK: Bobcat49/(Rose White) has thrown the cardboard (Bar (135, 134, 2))
[2018-09-08 00:55:43.499] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 77)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:44.394] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 62)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:45.438] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 47)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:46.681] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 32)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:47.597] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 17)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:48.652] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 2)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:49.238] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -13)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:49.736] ATTACK: ChippedIce/(Hana Robusto) Has whispered his final words while in hard critical with -83.9 points of health! (Command Hallway (112, 126, 2))
[2018-09-08 00:55:51.042] ATTACK: Angryman666/(Avery Seelig) has attacked *no key*/(Hana Robusto) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -91.5)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:53.045] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -28)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:53.943] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -43)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:54.705] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -54.2)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:55.646] ATTACK: Angryman666/(Avery Seelig) has attacked bilary/(Lara Black) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -69.2)  (Command Hallway (113, 126, 2))
[2018-09-08 00:55:55.693] ATTACK: bilary/(Lara Black) Has whispered his final words while in hard critical with -69.2 points of health! (Command Hallway (112, 127, 2))
[2018-09-08 00:56:13.473] ATTACK: Angryman666/(Avery Seelig) has stripped the security satchel off *no key*/(Hana Robusto) (NEWHP: -99.9)  (Bridge (108, 136, 2))
[2018-09-08 00:56:14.873] ATTACK: Angryman666/(Avery Seelig) has stripped the �X-01 MultiPhase Energy Gun off *no key*/(Hana Robusto) (NEWHP: -100.7)  (Bridge (108, 136, 2))
[2018-09-08 00:56:23.467] ATTACK: APersonsName222/(Pavlo Asterton) has thrown the cable coil (Research and Development (112, 101, 2))
[2018-09-08 00:56:37.878] ATTACK: APersonsName222/(Pavlo Asterton) has thrown the cable coil (Research and Development (112, 100, 2))
[2018-09-08 00:57:40.841] ATTACK: Angryman666/(Avery Seelig) has stripped the eyepatch HUD off *no key*/(Hana Robusto) (NEWHP: -136.6)  (Bridge (107, 137, 2))
[2018-09-08 00:57:59.256] ATTACK: Angryman666/(Avery Seelig) has grabbed *no key*/(Lara Black) passive grab (NEWHP: -100)  (Command Hallway (111, 127, 2))
[2018-09-08 00:58:14.358] ATTACK: Angryman666/(Avery Seelig) has attacked [exosuit fabricator] with [metal] (Robotics Lab (116, 85, 2))
[2018-09-08 00:58:27.911] ATTACK: Bobcat49/(Rose White) has grabbed *no key*/(Grodd V) passive grab (NEWHP: 100)  (Bar (133, 126, 2))
