[2018-09-08 17:04:45.518] Starting up round ID 2212.
[2018-09-08 17:04:45.518] -------------------------
[2018-09-08 17:09:30.835] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 90)  (Lavaland Labor Camp (140, 68, 5))
[2018-09-08 17:09:30.839] ATTACK: *no key*/(goliath) has attacked *no key*/(Clown) (NEWHP: 40)  (Lavaland Labor Camp (141, 68, 5))
[2018-09-08 17:09:31.350] ATTACK: TwoTar/(Noah Durstine) has thrown the folder (Xenobiology Lab (170, 101, 2))
[2018-09-08 17:09:32.835] ATTACK: *no key*/(Clown) has attacked *no key*/(goliath) (NEWHP: 80)  (Lavaland Labor Camp (140, 68, 5))
[2018-09-08 17:09:32.839] ATTACK: *no key*/(goliath) has attacked *no key*/(Clown) (NEWHP: 15)  (Lavaland Labor Camp (141, 68, 5))
[2018-09-08 17:09:33.269] ATTACK: TwoTar/(Noah Durstine) has thrown the pen (Xenobiology Lab (170, 101, 2))
[2018-09-08 17:09:35.089] ATTACK: TwoTar/(Noah Durstine) has thrown the paper bin (Xenobiology Lab (170, 101, 2))
[2018-09-08 17:09:50.146] ATTACK: TwoTar/(Noah Durstine) has thrown the box of syringes (Xenobiology Lab (168, 101, 2))
[2018-09-08 17:09:51.336] ATTACK: TwoTar/(Noah Durstine) has thrown the box of beakers (Xenobiology Lab (168, 101, 2))
[2018-09-08 17:10:13.100] ATTACK: TwoTar/(Noah Durstine) has thrown the wrench (Xenobiology Lab (167, 103, 2))
[2018-09-08 17:18:02.274] ATTACK: TwoTar/(Noah Durstine) has climbed onto [Robotics Operating Table] (Robotics Lab (167, 118, 2))
[2018-09-08 17:19:41.625] ATTACK: SunoPerson/(Suno Fang) has stripped the scientist satchel off TwoTar/(Noah Durstine) (NEWHP: 100)  (Robotics Lab (167, 119, 2))
[2018-09-08 17:20:19.580] ATTACK: SunoPerson/(Suno Fang) has operated on TwoTar/(Noah Durstine) (OPERATION TYPE: organ manipulation) (TARGET AREA: head) (NEWHP: 100)  (Robotics Lab (167, 119, 2))
[2018-09-08 17:22:26.651] ATTACK: Bilary/(Lara Black) has thrown the wirecutters (Starboard Maintenance (192, 121, 2))
[2018-09-08 17:22:29.521] ATTACK: Bilary/(Lara Black) has thrown the screwdriver (Starboard Maintenance (192, 121, 2))
[2018-09-08 17:22:36.745] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:37.726] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:42.175] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:42.979] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:43.913] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:44.837] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:46.060] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:46.924] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:47.875] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:48.700] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:49.471] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:50.481] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:51.341] ATTACK: Bilary/(Lara Black) has attacked [Research Division Delivery] with [survival knife] (Research and Development (189, 121, 2))
[2018-09-08 17:22:57.842] ATTACK: SunoPerson/(Suno Fang) has surgically removed brain from TwoTar/(Noah Durstine) INTENT: HELP (NEWHP: 70)  (Robotics Lab (167, 119, 2))
[2018-09-08 17:23:26.573] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Noah Durstine) (NEWHP: 100)  (Robotics Lab (167, 119, 2))
[2018-09-08 17:23:29.216] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Noah Durstine) passive grab (NEWHP: 100)  (Robotics Lab (167, 119, 2))
[2018-09-08 17:23:54.840] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:23:55.728] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:23:56.587] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:23:57.416] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:23:58.305] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:23:59.153] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:00.053] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:00.870] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:01.769] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:02.594] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:03.496] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:04.472] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:05.304] ATTACK: NonCancerAlias/(Mad Mason) has attacked [Chemistry Desk] with [survival knife] (Medbay Central (138, 125, 2))
[2018-09-08 17:24:10.163] ATTACK: NonCancerAlias/(Mad Mason) has climbed onto [reinforced table] (Chemistry (137, 125, 2))
[2018-09-08 17:24:42.842] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Noah Durstine) (NEWHP: 100)  (Chapel Office (175, 144, 2))
[2018-09-08 17:24:45.337] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Noah Durstine) passive grab (NEWHP: 100)  (Chapel Office (175, 144, 2))
[2018-09-08 17:24:53.169] ATTACK: NonCancerAlias/(Mad Mason) has climbed onto [reinforced table] (Chemistry (137, 125, 2))
[2018-09-08 17:24:59.253] ATTACK: SunoPerson/(Suno Fang) has cremated *no key*/(Noah Durstine) (NEWHP: 100)  (Chapel Office (175, 143, 2))
[2018-09-08 17:25:00.505] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:00.548] ATTACK: Bilary/(Lara Black) has thrown the proto-kinetic accelerator (Cargo Office (89, 118, 2))
[2018-09-08 17:25:01.301] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:01.808] ATTACK: Bilary/(Lara Black) has thrown the mining satchel (Cargo Office (89, 118, 2))
[2018-09-08 17:25:02.158] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:03.036] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:03.955] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:04.898] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:05.828] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:06.658] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:07.538] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:08.505] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:09.381] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:10.191] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:11.113] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:11.912] ATTACK: NonCancerAlias/(Mad Mason) has attacked [reinforced window] with [survival knife] (Medbay Central (144, 125, 2))
[2018-09-08 17:25:13.050] ATTACK: NonCancerAlias/(Mad Mason) has attacked [grille] with [survival knife] (Medbay Central (144, 125, 2))
