[2018-08-19 16:01:34.135] Starting up round ID 2002.
[2018-08-19 16:01:34.136] -------------------------
[2018-08-19 16:13:39.991] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Brig (112, 171, 2))
[2018-08-19 16:14:13.494] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the connector port fitting (Testing Lab (186, 98, 2))
[2018-08-19 16:14:29.289] ATTACK: CoolCatIsFeelingGroovy/(Moff) has attacked [heater] with [wirecutters] (Testing Lab (187, 98, 2))
[2018-08-19 16:14:30.293] ATTACK: Bilary/(Lara Black) has thrown Book: The Lusty Alien (Library (168, 137, 2))
[2018-08-19 16:14:35.566] ATTACK: CoolCatIsFeelingGroovy/(Moff) has attacked [freezer] with [wrench] (Testing Lab (187, 98, 2))
[2018-08-19 16:14:54.301] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Chapel (187, 139, 2))
[2018-08-19 16:15:11.269] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Summon infernal contract.</span> (Library (175, 134, 2))
[2018-08-19 16:16:08.064] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Library (172, 136, 2))
[2018-08-19 16:17:26.135] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Summon infernal contract.</span> (Starboard Primary Hallway (176, 127, 2))
[2018-08-19 16:17:26.955] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Library (173, 136, 2))
[2018-08-19 16:18:17.796] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown Rapid Piping Device (RPD) (Testing Lab (187, 97, 2))
[2018-08-19 16:18:42.482] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the manual valve fitting (Toxins Mixing Lab (192, 104, 2))
[2018-08-19 16:18:50.659] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the pipe manifold fitting (Toxins Mixing Lab (192, 102, 2))
[2018-08-19 16:19:04.197] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the pipe fitting (Toxins Mixing Lab (192, 103, 2))
[2018-08-19 16:19:04.463] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:04.522] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:05.337] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:05.384] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:05.677] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the pipe manifold fitting (Toxins Mixing Lab (192, 103, 2))
[2018-08-19 16:19:06.192] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:06.298] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:07.049] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:07.307] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:07.972] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:08.076] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:08.898] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:09.057] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:09.808] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:10.047] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:10.625] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:11.058] ATTACK: Bilary/(Lara Black) has attacked [reinforced window] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:11.550] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [reinforced window] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:11.986] ATTACK: Bilary/(Lara Black) has attacked [grille] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:12.652] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [grille] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:12.877] ATTACK: Bilary/(Lara Black) has attacked [grille] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:13.490] ATTACK: Ceanox/(Berna Mandys P.I) has attacked [grille] with [police baton] (Fore Primary Hallway (112, 158, 2))
[2018-08-19 16:19:13.726] ATTACK: Bilary/(Lara Black) has attacked [grille] with [curator's whip] (Fore Primary Hallway (112, 159, 2))
[2018-08-19 16:19:25.600] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the paper- Lara Black employment contract (Law Office (107, 157, 2))
[2018-08-19 16:21:49.794] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the attorney's badge (Law Office (108, 158, 2))
[2018-08-19 16:22:11.000] ATTACK: Ceanox/(Berna Mandys P.I) <span class='danger'>cast the spell Distant vision.</span> (Law Office (108, 158, 2))
[2018-08-19 16:22:36.815] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Infernal Jaunt.</span> (Fore Primary Hallway (113, 157, 2))
[2018-08-19 16:22:40.953] ATTACK: BoxxyBooty/(Bumps) has climbed onto [wooden table] (Captain's Office (122, 125, 2))
[2018-08-19 16:22:41.285] ATTACK: Ceanox/(Berna Mandys P.I) has fired at [floor] with [electrode] from Fore Primary Hallway (Fore Primary Hallway (114, 159, 2))
[2018-08-19 16:22:41.353] ATTACK: Ceanox/(Berna Mandys P.I) has shot ChippedIce/(Hana Robusto) with [electrode] (NEWHP: 100)  (Fore Primary Hallway (114, 159, 2))
[2018-08-19 16:22:42.975] ATTACK: Ceanox/(Berna Mandys P.I) has grabbed ChippedIce/(Hana Robusto) passive grab (NEWHP: 100)  (Fore Primary Hallway (113, 158, 2))
[2018-08-19 16:22:43.914] ATTACK: Ceanox/(Berna Mandys P.I) has fired at ChippedIce/(Hana Robusto) with [electrode] from Fore Primary Hallway (NEWHP: 100)  (Fore Primary Hallway (113, 159, 2))
[2018-08-19 16:22:43.916] ATTACK: Ceanox/(Berna Mandys P.I) has shot ChippedIce/(Hana Robusto) with [electrode] (NEWHP: 100)  (Fore Primary Hallway (113, 159, 2))
[2018-08-19 16:22:48.755] ATTACK: Ceanox/(Berna Mandys P.I) has handcuffed ChippedIce/(Hana Robusto) (NEWHP: 100)  (Fore Primary Hallway (113, 159, 2))
[2018-08-19 16:22:49.750] ATTACK: Ceanox/(Berna Mandys P.I) has fired at ChippedIce/(Hana Robusto) with [electrode] from Fore Primary Hallway (NEWHP: 100)  (Fore Primary Hallway (113, 160, 2))
[2018-08-19 16:22:49.752] ATTACK: Ceanox/(Berna Mandys P.I) has shot ChippedIce/(Hana Robusto) with [electrode] (NEWHP: 100)  (Fore Primary Hallway (113, 160, 2))
[2018-08-19 16:22:55.071] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:22:55.965] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:22:56.803] ATTACK: Ceanox/(Berna Mandys P.I) has stripped the security satchel off ChippedIce/(Hana Robusto) (NEWHP: 100)  (Fore Primary Hallway (113, 160, 2))
[2018-08-19 16:22:56.825] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:22:57.750] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:22:58.649] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:22:59.483] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:23:00.451] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:23:01.354] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:23:01.796] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Infernal Jaunt.</span> (Fore Primary Hallway (113, 160, 2))
[2018-08-19 16:23:02.021] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) (NEWHP: 100)  (Fore Primary Hallway (112, 160, 2))
[2018-08-19 16:23:02.299] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:23:03.065] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:23:03.980] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:23:04.891] ATTACK: BoxxyBooty/(Bumps) has attacked [�captain's locker] with [fire axe (Wielded)] (Captain's Office (121, 121, 2))
[2018-08-19 16:23:07.702] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the �Codex Gigas (Fore Primary Hallway (114, 160, 2))
[2018-08-19 16:23:10.503] ATTACK: Ceanox/(Berna Mandys P.I) has thrown the paper- contract for knowledge (Fore Primary Hallway (114, 160, 2))
[2018-08-19 16:23:14.041] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) (NEWHP: 100)  (Fore Primary Hallway (114, 159, 2))
[2018-08-19 16:23:16.352] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with �Codex Gigas[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Fore Primary Hallway (113, 159, 2))
[2018-08-19 16:23:25.985] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) (NEWHP: 100)  (Fore Primary Hallway (114, 156, 2))
[2018-08-19 16:23:26.250] ATTACK: Kelesis/(Sam The Man) has grabbed *no key*/(�Medibot) passive grab (NEWHP: 20)  (Robotics Lab (176, 121, 2))
