[2018-09-10 00:50:25.531] Starting up round ID 2233.
[2018-09-10 00:50:25.532] -------------------------
[2018-09-10 01:07:30.950] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: 28)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:31.759] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: 21.2)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:34.525] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: 16.2)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:35.631] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: 9.2)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:37.452] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: 3.2)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:38.263] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -10.7)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:39.075] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -23.7)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:41.207] ATTACK: Goodie_boy/(Dan Ox) has attacked [window] with [mechanical toolbox] (Starboard Bow Maintenance (172, 153, 2))
[2018-09-10 01:07:42.068] ATTACK: Goodie_boy/(Dan Ox) has attacked [window] with [mechanical toolbox] (Starboard Bow Maintenance (172, 153, 2))
[2018-09-10 01:07:43.019] ATTACK: Goodie_boy/(Dan Ox) has attacked [window] with [mechanical toolbox] (Starboard Bow Maintenance (172, 153, 2))
[2018-09-10 01:07:43.729] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -33.7)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:43.915] ATTACK: Goodie_boy/(Dan Ox) has attacked [window] with [mechanical toolbox] (Starboard Bow Maintenance (172, 153, 2))
[2018-09-10 01:07:44.500] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -38.7)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:44.826] ATTACK: Goodie_boy/(Dan Ox) has attacked [window] with [mechanical toolbox] (Starboard Bow Maintenance (172, 153, 2))
[2018-09-10 01:07:50.951] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -49.7)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:53.053] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -59.7)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:07:55.079] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -70.5)  (Genetics Lab (157, 116, 2))
[2018-09-10 01:08:04.125] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -86.5)  (Genetics Lab (152, 113, 2))
[2018-09-10 01:08:07.458] ATTACK: GarfielfSpecies/(John Smith) has grabbed *no key*/(monkey (706)) passive grab (NEWHP: -88.5)  (Genetics Lab (152, 113, 2))
[2018-09-10 01:08:10.334] ATTACK: GarfielfSpecies/(John Smith) has grabbed *no key*/(monkey (706)) aggressive grab (NEWHP: -89.5)  (Genetics Lab (156, 114, 2))
[2018-09-10 01:08:44.329] ATTACK: GarfielfSpecies/(John Smith) has grabbed *no key*/(monkey (706)) passive grab (NEWHP: -100.5)  (Genetics Lab (155, 115, 2))
[2018-09-10 01:08:46.780] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -108.5)  (Genetics Lab (155, 115, 2))
[2018-09-10 01:09:28.642] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Fitness Room (135, 158, 2))
[2018-09-10 01:09:31.892] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Fitness Room (136, 151, 2))
[2018-09-10 01:09:44.952] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Dormitories (130, 152, 2))
[2018-09-10 01:09:46.016] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Dormitories (130, 152, 2))
[2018-09-10 01:09:46.842] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Dormitories (130, 152, 2))
[2018-09-10 01:09:47.802] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Dormitories (130, 152, 2))
[2018-09-10 01:09:55.571] ATTACK: GarfielfSpecies/(John Smith) has punched GarfielfSpecies/(John Smith) (NEWHP: 92)  (Genetics Lab (153, 114, 2))
[2018-09-10 01:10:04.317] ATTACK: GarfielfSpecies/(John Smith) has attacked [cloning console] with [chair] (Genetics Lab (154, 114, 2))
[2018-09-10 01:10:07.414] ATTACK: GarfielfSpecies/(John Smith) has attacked GarfielfSpecies/(John Smith) with chair[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 84)  (Genetics Lab (154, 114, 2))
[2018-09-10 01:10:19.839] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the proto-kinetic accelerator (Lavaland Wastes (94, 49, 5))
[2018-09-10 01:10:24.941] ATTACK: Goodie_boy/(Dan Ox) has attacked [disposal pipe] with [mechanical toolbox] (Fore Maintenance (135, 161, 2))
[2018-09-10 01:10:25.897] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Fore Maintenance (135, 161, 2))
[2018-09-10 01:10:27.859] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Fore Maintenance (135, 165, 2))
[2018-09-10 01:10:28.934] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Fore Maintenance (135, 165, 2))
[2018-09-10 01:10:29.755] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Fore Maintenance (135, 165, 2))
[2018-09-10 01:10:30.625] ATTACK: Goodie_boy/(Dan Ox) has attacked [light fixture] with [mechanical toolbox] (Fore Maintenance (135, 165, 2))
[2018-09-10 01:10:44.547] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 160)  (Lavaland Wastes (111, 42, 5))
[2018-09-10 01:10:44.600] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 120)  (Lavaland Wastes (111, 42, 5))
