[2018-08-31 00:33:13.222] Starting up round ID 2134.
[2018-08-31 00:33:13.222] -------------------------
[2018-08-31 00:39:52.244] ATTACK: Shoeater/(Scotty Lord) has attacked *no key*/(Terk XXXVI) with stunbaton[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 92.5)  (Bar (144, 136, 2))
[2018-08-31 00:39:52.689] ATTACK: X1pr0/(I.N.C.E.S.T) has electrified [Diner] (AI Chamber (150, 32, 2))
[2018-08-31 00:39:55.833] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (143, 136, 2))
[2018-08-31 00:39:56.963] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) aggressive grab (NEWHP: 92.5)  (Bar (143, 136, 2))
[2018-08-31 00:39:58.465] ATTACK: Shoeater/(Scotty Lord) has pushed *no key*/(Terk XXXVI) (NEWHP: 92.5)  (Bar (143, 136, 2))
[2018-08-31 00:39:58.964] ATTACK: X1pr0/(I.N.C.E.S.T) has electrified [Diner] (AI Chamber (150, 32, 2))
[2018-08-31 00:40:01.870] ATTACK: Shoeater/(Scotty Lord) has climbed onto [reinforced table] (Bar (142, 135, 2))
[2018-08-31 00:40:02.567] ATTACK: X1pr0/(I.N.C.E.S.T) has electrified [Diner] (AI Chamber (150, 32, 2))
[2018-08-31 00:40:05.423] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (142, 136, 2))
[2018-08-31 00:40:05.758] ATTACK: *no key*/(Terk XXXVI) has pulled from Shoeater/(Scotty Lord) with Jaedo/(Amiyah McDonald) (NEWHP: 100)  (Bar (142, 136, 2))
[2018-08-31 00:40:05.759] ATTACK: Jaedo/(Amiyah McDonald) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (141, 137, 2))
[2018-08-31 00:40:09.533] ATTACK: [Diner] has electrocuted Jaedo/(Amiyah McDonald) (NEWHP: 79.1)  (Bar (138, 131, 2))
[2018-08-31 00:40:10.024] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (136, 132, 2))
[2018-08-31 00:40:10.026] ATTACK: *no key*/(Terk XXXVI) has tackled Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (137, 132, 2))
[2018-08-31 00:40:13.334] ATTACK: [Diner] has electrocuted SaltyScabbard/(Slippy Joe) (NEWHP: 85)  (Bar (136, 131, 2))
