[2018-09-05 14:23:24.021] Starting up round ID 2183.
[2018-09-05 14:23:24.021] -------------------------
[2018-09-05 14:30:15.521] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:15.596] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.046] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.096] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.146] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.196] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.209] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.296] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.799] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.847] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.896] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.946] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:16.962] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:17.046] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:17.746] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:17.796] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:17.846] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:17.895] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:17.905] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:18.000] ATTACK: bilary/(Lara Black) has fired at [floor] with [5.56mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:21.546] ATTACK: bilary/(Lara Black) has thrown the �NT-ARG 'Boarder' (Murderdome (135, 104, 13))
[2018-09-05 14:30:22.013] ATTACK: bilary/(Lara Black) has thrown the �NT-ARG 'Boarder' (Murderdome (135, 104, 13))
[2018-09-05 14:30:24.769] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:24.846] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:25.302] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:25.396] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:25.946] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:25.999] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:26.436] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:26.499] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:26.968] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:27.046] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:27.600] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:27.696] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:28.233] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:28.299] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:28.704] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:28.797] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:29.217] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:29.297] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:29.725] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:29.796] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:30.416] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:30.497] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:31.126] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:31.196] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:31.786] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:31.846] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:32.490] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:32.565] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:33.241] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:33.302] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:33.949] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:34.002] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:34.731] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:34.802] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:35.400] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:35.452] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:35.862] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:35.955] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:36.390] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:36.461] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:38.043] ATTACK: bilary/(Lara Black) has thrown the security auto rifle (Murderdome (135, 104, 13))
[2018-09-05 14:30:38.444] ATTACK: bilary/(Lara Black) has thrown the security auto rifle (Murderdome (135, 104, 13))
[2018-09-05 14:30:40.824] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:40.901] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:41.415] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:41.501] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:42.069] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:42.152] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:42.590] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:42.651] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:43.218] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:43.302] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:43.865] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:43.953] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:44.545] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:44.601] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:45.145] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:45.202] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:45.742] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:45.801] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:46.294] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:46.357] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:46.951] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:47.002] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:47.644] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:47.701] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:48.162] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:48.252] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:48.864] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:48.953] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:49.400] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:49.451] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:49.868] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:49.954] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:50.390] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:50.452] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:50.861] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:50.952] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:51.525] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:51.601] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:52.172] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:52.252] ATTACK: bilary/(Lara Black) has fired at [wall] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:53.782] ATTACK: bilary/(Lara Black) has thrown the security auto rifle (Murderdome (135, 104, 13))
[2018-09-05 14:30:54.238] ATTACK: bilary/(Lara Black) has thrown the security auto rifle (Murderdome (135, 104, 13))
[2018-09-05 14:30:56.393] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:56.451] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:57.144] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:57.202] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:57.796] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:57.852] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:58.295] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:58.356] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:58.923] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:59.005] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:59.573] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:30:59.656] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:00.294] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:00.354] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:01.040] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:01.101] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:01.710] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:01.801] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:02.445] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:02.502] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:03.144] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:03.201] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:03.643] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:03.701] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:04.339] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:04.403] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:05.017] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:05.101] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:12.356] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:12.409] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:12.872] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:12.956] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:13.385] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:13.456] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:13.949] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:14.006] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
[2018-09-05 14:31:14.631] ATTACK: bilary/(Lara Black) has fired at [floor] with [4.6x30mm bullet] from Murderdome (Murderdome (135, 104, 13))
